番号,住所,ホール名,状態
1,東京都あきる野市秋川2-1-7,オリエント 秋川店,休業(2020/04/11～2020/05/29)、再開(2020/05/30～)
2,東京都あきる野市小川東1-5-1デルパラビル,デルパラ6 あきる野店,休業(2020/04/27～2020/05/08)、再開(2020/05/09～)
3,東京都あきる野市下代継44-1,パーク 秋川店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
4,東京都稲城市矢野口313-7三慶ビル,第一ホール 矢野口店,休業(2020/04/11～2020/05/26)、再開(2020/05/27～)
5,東京都羽村市五ノ神4-14-6,オゼック 羽村店,休業(～2020/05/25)、再開(2020/05/26～)
6,東京都羽村市羽東1-20-1,トワーズ 羽村駅前店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
7,東京都羽村市神明台4-2-1,トワーズ 羽村店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
8,東京都羽村市小作台3-23-12,トワーズ 小作駅前店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
9,東京都葛飾区青戸3-31-8青松ビル,(S)遊劇場3 青戸店,休業(2020/04/11～2020/05/19)、再開(2020/05/20～)
10,東京都葛飾区青戸3-31-7,(S)遊劇場4 青戸店,休業(2020/04/11～2020/06/25)、再開(2020/06/26～)
11,東京都葛飾区新小岩1-41-4NTビル,D'ステーション 新小岩店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
12,東京都葛飾区新小岩1-31-5マックスビル,MAX-1 新小岩店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
13,東京都葛飾区東立石3-36-3 森永ハイム立石,あかね 立石店,休業(2020/04/23～2020/06/12)、再開(2020/06/13～)
14,東京都葛飾区亀有5-33-2,アカデミー 亀有店,休業(2020/04/11～2020/05/25)、再開(2020/05/26～)
15,東京都葛飾区亀有5-32-5,アクセル 亀有店,休業(2020/04/23～2020/05/25)、再開(2020/05/26～)
16,東京都葛飾区亀有3-22-1,アトラス 亀有店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
17,東京都葛飾区亀有5-37-10ハイツBIG-1,アムディ 亀有店,休業(2020/04/30～2020/05/19)、再開(2020/05/20～)
18,東京都葛飾区西新小岩1-9-8,アラジン 新小岩店,休業(～2020/05/26)、再開(2020/05/27～)
19,東京都葛飾区西新小岩1-10-1日拓新小岩駅前ビル,エスパス日拓1300 新小岩北口駅前店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
20,東京都葛飾区立石7-2-9,オーパス・ワン 立石店,休業(2020/04/11～2020/05/14)、再開(2020/05/15～)
21,東京都葛飾区東金町1-42-5豊勢金町ビル,サイバー 金町北口店,休業(2020/04/08～2020/05/25)、再開(2020/05/26～)
22,東京都葛飾区新小岩1-30-4,ジャンボ 新小岩店,休業(～2020/05/26)、再開(2020/05/27～)
23,東京都葛飾区小菅4-10-8,センチュリー 綾瀬店,休業(2020/04/22～2020/05/26)、再開(2020/05/27～)
24,東京都葛飾区亀有5-31-9マリトモビル①,ダイナム 亀有店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
25,東京都葛飾区金町6-5-8DY金町ビル,ダイナム 金町南口店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
26,東京都葛飾区東金町1-43-8アサヒ会館ビル1F,ダイナム 金町北口店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
27,東京都葛飾区新小岩1-43-10,ダイナム 新小岩店,休業(2020/04/07～2020/05/28)、再開(2020/05/29～)
28,東京都葛飾区青戸3-32-18,ニューパルコ 青戸店,休業(2020/04/11～2020/05/21)、再開(2020/05/22～)
29,東京都葛飾区西水元1-15-18,ハッピー 水元店,休業(2020/04/09～2020/05/09)、再開(2020/05/10～)
30,東京都葛飾区南水元4-18-7,ビーナス 水元1号店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
31,東京都葛飾区水元1-21-15,ビーナス 水元2号店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
32,東京都葛飾区高砂3-11-6,ビクトリー 高砂店,休業(2020/04/11～)、再開
33,東京都葛飾区立石4-25-1,プラザ 立石店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
34,東京都葛飾区お花茶屋1-19-18ダイアパレス・ステーションプラザお花茶屋,プローバ お花茶屋店,休業(2020/04/08～2020/06/12)、再開(2020/06/13～)
35,東京都葛飾区立石4-27-15,ベガ 立石店,休業(2020/04/22～2020/05/25)、再開(2020/05/26～)
36,東京都葛飾区西新小岩1-10-5,マリオン 新小岩店,休業(2020/04/08～)、再開
37,東京都葛飾区亀有4-1-15マルハン亀有ビル,マルハン 亀有店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
