,year,value,cityCode,cityName,prefCode,prefName
0,2009,55436,01100,札幌市,1,北海道
1,2012,50924,01100,札幌市,1,北海道
2,2014,50755,01100,札幌市,1,北海道
3,2016,47112,01100,札幌市,1,北海道
0,2009,55436,01101,札幌市,1,北海道
1,2012,50924,01101,札幌市,1,北海道
2,2014,50755,01101,札幌市,1,北海道
3,2016,47112,01101,札幌市,1,北海道
0,2009,55436,01102,札幌市,1,北海道
1,2012,50924,01102,札幌市,1,北海道
2,2014,50755,01102,札幌市,1,北海道
3,2016,47112,01102,札幌市,1,北海道
0,2009,55436,01103,札幌市,1,北海道
1,2012,50924,01103,札幌市,1,北海道
2,2014,50755,01103,札幌市,1,北海道
3,2016,47112,01103,札幌市,1,北海道
0,2009,55436,01104,札幌市,1,北海道
1,2012,50924,01104,札幌市,1,北海道
2,2014,50755,01104,札幌市,1,北海道
3,2016,47112,01104,札幌市,1,北海道
0,2009,55436,01105,札幌市,1,北海道
1,2012,50924,01105,札幌市,1,北海道
2,2014,50755,01105,札幌市,1,北海道
3,2016,47112,01105,札幌市,1,北海道
0,2009,55436,01106,札幌市,1,北海道
1,2012,50924,01106,札幌市,1,北海道
2,2014,50755,01106,札幌市,1,北海道
3,2016,47112,01106,札幌市,1,北海道
0,2009,55436,01107,札幌市,1,北海道
1,2012,50924,01107,札幌市,1,北海道
2,2014,50755,01107,札幌市,1,北海道
3,2016,47112,01107,札幌市,1,北海道
0,2009,55436,01108,札幌市,1,北海道
1,2012,50924,01108,札幌市,1,北海道
2,2014,50755,01108,札幌市,1,北海道
3,2016,47112,01108,札幌市,1,北海道
0,2009,55436,01109,札幌市,1,北海道
1,2012,50924,01109,札幌市,1,北海道
2,2014,50755,01109,札幌市,1,北海道
3,2016,47112,01109,札幌市,1,北海道
0,2009,55436,01110,札幌市,1,北海道
1,2012,50924,01110,札幌市,1,北海道
2,2014,50755,01110,札幌市,1,北海道
3,2016,47112,01110,札幌市,1,北海道
0,2009,11193,01202,函館市,1,北海道
1,2012,10206,01202,函館市,1,北海道
2,2014,9995,01202,函館市,1,北海道
3,2016,9269,01202,函館市,1,北海道
0,2009,4972,01203,小樽市,1,北海道
1,2012,4491,01203,小樽市,1,北海道
2,2014,4411,01203,小樽市,1,北海道
3,2016,4127,01203,小樽市,1,北海道
0,2009,11653,01204,旭川市,1,北海道
1,2012,10983,01204,旭川市,1,北海道
2,2014,10784,01204,旭川市,1,北海道
3,2016,10135,01204,旭川市,1,北海道
0,2009,3558,01205,室蘭市,1,北海道
1,2012,3269,01205,室蘭市,1,北海道
2,2014,3105,01205,室蘭市,1,北海道
3,2016,2900,01205,室蘭市,1,北海道
0,2009,6755,01206,釧路市,1,北海道
1,2012,6119,01206,釧路市,1,北海道
2,2014,6030,01206,釧路市,1,北海道
3,2016,5644,01206,釧路市,1,北海道
0,2009,6554,01207,帯広市,1,北海道
1,2012,6106,01207,帯広市,1,北海道
2,2014,6307,01207,帯広市,1,北海道
3,2016,6120,01207,帯広市,1,北海道
0,2009,4357,01208,北見市,1,北海道
1,2012,4146,01208,北見市,1,北海道
2,2014,4062,01208,北見市,1,北海道
3,2016,3798,01208,北見市,1,北海道
0,2009,422,01209,夕張市,1,北海道
1,2012,369,01209,夕張市,1,北海道
2,2014,342,01209,夕張市,1,北海道
3,2016,302,01209,夕張市,1,北海道
0,2009,2615,01210,岩見沢市,1,北海道
1,2012,2456,01210,岩見沢市,1,北海道
2,2014,2475,01210,岩見沢市,1,北海道
3,2016,2334,01210,岩見沢市,1,北海道
0,2009,1438,01211,網走市,1,北海道
1,2012,1427,01211,網走市,1,北海道
2,2014,1420,01211,網走市,1,北海道
3,2016,1326,01211,網走市,1,北海道
0,2009,1068,01212,留萌市,1,北海道
1,2012,955,01212,留萌市,1,北海道
2,2014,885,01212,留萌市,1,北海道
3,2016,810,01212,留萌市,1,北海道
0,2009,5236,01213,苫小牧市,1,北海道
1,2012,4924,01213,苫小牧市,1,北海道
2,2014,4882,01213,苫小牧市,1,北海道
